App,review_date,review_description,rating,thumbsUpCount,developer_response,developer_response_date,appVersion
Zomato,25-07-2023 07:38,"Though the app provides good services but is some major concerns are : 1) Delivery charges are often very high as compared to other apps. 2) coupans for a restaurant may not be given to everyone i.e. if you frequently order from a particular restaurant then, you will not get the coupons on that restaurant which might be given to other users 3) THE BIGGEST SETBACK is that apart from the delivery charges, Zomato does not show the actual prices of food items, it shows 25% high prices of dishes.",4,0,,,17.6.0
Zomato,20-07-2023 14:03,"Very bad customer service. They even have a paid premium membership but there isn't any change in customer service. Emails don't get replies and there is no chance of speaking to an agent on bot. The only options they provide are from a list of unrelated prompts and it's not possible to type or upload photos of any issue outside of the options they give. I had a spillage issue for the whole order and the bot only gave me options of getting a 20 rupee coupon or ""just report the issue""",1,157,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 08:21,17.6.0
Zomato,25-07-2023 10:26,"This review is not just about app experience but an overall online food buying experience- Enhanced prices just exploit the middle class. Nearly 40 Rs delivery charge for a distance of 2 km is very unjust and shows that you are just using your monopoly in the market. For a new user it becomes difficult to find even those fake coupons which apply on enhanced prices. If are not able to use them, by default you will not reduce the price, thus looking for every opportunity to just earn.",3,0,,,17.6.0
Zomato,20-07-2023 04:17,Lately the minimum order amount required to apply offer seems to be really high. Ordering for a single person will find it difficult to meet that value and claim offer. Then there is the map issue. It's showing some random lines and places instead of actual map.,1,13,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 08:19,17.6.0
Zomato,15-07-2023 17:28,They assigned 2 orders to my delivery guy. After picking up my order he was waiting for almost an hr for his 2nd pickup from a mall! I tried contacting customer service multiple times but they were no help! Twice they closed my issue without resolution! They weren't willing to assign the 2nd order to someone else so that he could atleast deliver mine. I had to eventually cancel my order after waiting for 2 hrs. Absolutely disappointing experience! Swiggy is way better at problem resolution.,1,68,"Hi Shoita, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",21-07-2023 09:04,17.6.0
Zomato,12-07-2023 08:00,"Very bad experience with Zomato, not with their services but with their hotel tie-ups. I have been disappointed with last 3 orders & for last orders I have asked for the order replacement which was not fulfilled. I have asked many times to their customer service to initiate the talk with hotels in terms of improving their food quality, because of my personal experience what i have had with ordering from zomato, but all were not supportive. If I would have had minus rating, I would have given it.",1,234,,,17.5.9
Zomato,08-07-2023 17:24,"Zomato is fantastic! The app is easy to use, and it offers a wide range of restaurants to choose from. The delivery service is efficient, with real-time tracking, and the food always arrives fresh and delicious. I love the discounts and promotions they offer. Overall, I highly recommend Zomato for a convenient and satisfying dining experience.",5,284,"Hi Swaroop, glad to hear that! Thank you for your feedback.",13-07-2023 17:09,17.5.8
Zomato,02-07-2023 16:19,"Zomato is hands down the best food app I've ever used! It's simple, convenient, and has made my food adventures so much easier. I love how easy it is to find restaurants, check menus, and read reviews all in one place. Ordering food for delivery is a breeze, and the delivery service is always reliable. Whether I'm in the mood for something fancy or just want to grab a quick bite, Zomato has got me covered. It's my go-to app whenever I want to explore new flavors or satisfy my cravings.",5,159,"Hi there, glad to hear that! Thank you for your feedback.",02-07-2023 16:22,17.5.7
Zomato,23-07-2023 08:47,It has a 100% cancellation fee for all restaurants so if you enter the wrong address you are stuck with the order as whether you take it or not your money is gone. Please wnsure you have entered the right address. Also It forces the gold membership on you but does not delivered on its promise of upto 100% coupon on late deliveries. That's fake.,1,6,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",23-07-2023 08:50,17.5.8
Zomato,20-07-2023 15:41,"No customer service facility, recently launched some collection of coupons facility which is totally scam, it shows that you have collected the coupon but when you try to order the food by using those coupons , it shows that coupons are not eligible, eventhough if you receive wrong food items, you don't get a chance to connect with customer support executive and if by chance if you get that option, they say restaurant is wholly responsible for that.Pathetic service and they are charging too much",1,6,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 08:21,17.6.0
Zomato,19-07-2023 15:32,It is a nice app for all to order food. You don't need to go anywhere just order what you want and click place button. And in 20 to 30 minutes your order is at your door. I cut 1 stars because there is no offer for cash on delivery. But overall the zomato app is good. Thank you for reading my feedback god bless you,4,1,"Hi Sonali, glad to hear that! Thank you for your feedback.",22-07-2023 13:30,17.6.0
Zomato,20-07-2023 15:30,"My order was delayed, and they kept increasing the delivery time. When I reached Zomato, they were not able to connect with the restaurant. When I asked for a cancellation, they said I had to pay cancellation charges. Ideally, Zomato should support the customer, as I ordered through their application. Still, they aren't bothered and are asking to ""wait for some time"". Finally, as there is no help from Zomato, I agreed to cancel the order and deduct the cancellation charge from my refund.",1,9,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 08:21,17.6.0
Zomato,19-07-2023 09:28,"It is the leading online food delivery app in India which provides food delivery during all weather conditions. Most of the restaurants are already added there. The interface and the performance of the app is super amazing, just loving it. Just some times the time shows on the delivery is not accurate rather I would say it's slow.",5,186,"Hi Ekbal, that's great! Glad to know you enjoyed using Zomato.",14-03-2022 13:57,17.6.0
Zomato,19-07-2023 05:00,"The app is amazing but one thing I find it unusual that there's no time given for cancelling our order.... because if we go for cancellation then it charges penalty to us. Atleast one minute time lapse is been given to us just like swiggy does. Thankyou, I hope you'll take this feedback positively.",5,9,"Hi Sudhanshu, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.
",23-07-2023 13:11,17.6.0
Zomato,15-07-2023 05:50,"Zomato Gold is a SCAM. Certain offers and coupon codes are simply not available to you if you're a ""Gold Member"". My friend doesn't have Zomato Gold and he was able to get cheaper overall price on the same items from the same restaurant for delivery!! You still pay for delivery unless the order is a certain amount and additional discounts only apply on large orders. I feel totally cheated.",2,49,"Hi Varun, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",21-07-2023 07:12,17.6.0
Zomato,01-07-2023 14:24,Uninstalling the app right now. 4 time it has cancelled my order. And refund is alway after 7th day. It always shows refund completed but the amount takes 8 to 9 days to show in acc. 2 times it has confirmed the order in cash on delhivery even if I choose online payment and after the payment it complete it shows that the order was never placed and amount will be refunded. And 6 time the amount was deducted from my account but the order was not placed.,1,79,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",07-07-2023 13:07,17.5.7
Zomato,07-07-2023 07:46,"It was all good until they introduced this most fuc*d#p feature: ""don't send cutlery with this order"" which is some how auto enable(couldn't find any options to turn it off). Why do I need to consciously remember that I have no cutlery at home; and I need to manually disable this option??? This is 4th time i ordered the and don't have any spoons to eat. It is so frustrating that I'm reverting back to Swiggy even though I switched to Zomato because I wasn't happy with this app in the first place.",1,44,,,17.5.7
Zomato,16-07-2023 10:09,Gold membership is a scam in my last 5 order experiences. They promise on time delivery & shorter time for delivery before booking. After you book the time changes to additional 15-20 mins. You can't talk to the customer service even with a gold membership. There won't be any response for the time delay & no refund of your gold membership fee as well. Pay & wait for the cold food. Uninstalling this app for good. Do not waste money in membership.,1,22,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",21-07-2023 08:45,17.5.9
Zomato,15-07-2023 17:30,"Some items were missing in my order.... When spoke to customer service, they ask me to provide a review to the hotel. But refused to provide me a refund or a replacement. They say that they are not able to connect with the Hotel and disconnet the chat. We place orders from Zomato Because we expect the complete order to be delivered. I have placed an order for Rs 900. And received items worth Rs 400. They have cheated me. I would request everyone to stop using Zomato.",1,15,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 08:01,17.5.9
Zomato,15-07-2023 09:55,"Searching for places to eat and ordering online is quick and easy. Keeping a history of earlier visits and favourite places is nice. Sometimes the app doesnt detect the location correctly but that can be fixed with a little manual entry. Ability to filter by type of cuisine, dine in or take away etc is good. The new food category filter is very good. The ordering process has become easier.",5,262,,,17.5.9
Zomato,08-07-2023 18:22,No customer support available. Placed my order and it kept showing that the order is being prepared but the restaurant had already closed. I have been trying to get my order cancelled on the app but it gave no such option and even tried calling the restaurant for the same. Need customer support to process the refund but in vain! Absolutely crass service.,1,48,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 07:30,17.5.9
Zomato,25-07-2023 13:19,There's not a single app in the world which implies 100% cancellation charges. Thank you Zomato for your services. Never going to use your app. Mark my words. Edit : Worst customer service also. You can never and will never get your genuine problems solved through their customer support. They will keep spamming the same things whatever you tell them.,1,2,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",25-07-2023 13:18,17.6.0
Zomato,23-07-2023 15:45,"The best ever food delivery app.. Recommend highly !! Everything is good,I CANNOT BELIEVE HOW FAST THEIR DELIVERY IT IS !! 💕💕 My first order just received by 10 minutes, not only my first order every order takes a very little time..It is so easy to order and POLITE delivery partner!! 😍 There is a cute Tomato buddy to help us about the order, instant delivery messages through whatsapp..We can track our orders easily !! THE GREEN DELIVERY THINGS IS VERY GOOD TO ENVIRONMENT, Eco friendly app",5,0,"Hi there, glad to hear that! Thank you for your feedback.",24-07-2023 10:27,17.5.9
Zomato,07-05-2023 15:42,"A few months ago, the app worked flawlessly. Unfortunately, these days it often displays that no delivery partners are nearby, causing a daily inconvenience. Consequently, a single delivery partner has to collect and deliver 2-3 orders at a time, causing delays. Regrettably, I have to delete your app and switch to Swiggy for better delivery options and readily available partners. I'm willing to return if the issue is resolved.",1,337,,,17.4.6
Zomato,25-07-2023 11:45,"The app is not professional in its approach. I recently ordered food from a local restaurant ; the order was delivered with lots of delay and to my surprise i found out the order was incomplete. Some ordered foods are missing! When i raised the issue, the app management didnot take any initiative to solve the issue. Such un professionalism is not expected.",1,0,,,17.6.2
Zomato,10-07-2023 06:04,"Absolutely garbage of a delivery app, they always get the order wrong or are super late and it shows slightly delayed even though it's 1 hour late. The taxes they charge got super high and the customer support isn't helpful at all and just tell you to wait for any problem you come with. Swiggy is 10000x better",1,34,,,17.5.9
Zomato,24-07-2023 05:08,"More food options than on Swiggy. Better for me. I like the options to add voice instructions, pay online after placing order, add note to restaurant add instructions on delivery etc. Always on time. Once when delayed, as promised, i was refunded the amount promised. Improvements needed: Wish there was an option to cancel the order without losing money within a minute. Also to be able to edit posted reviews and post reviews without photos. No idea re customer care - how good or bad.",4,99,"Hi There, thank you for reaching out. We are constantly striving to improve our service/product for our customers, and your feedback goes a long way in helping us do so. Thank you once again, do keep sharing your valuable inputs with us.",13-06-2021 10:05,17.6.0
Zomato,15-07-2023 15:53,"Worst experience, I didn't get all the food items in my second order. Sweet things were missing. And there is no cancel or order change option in the app, even order cancellation is refused on chat only after 2 minutes.",1,22,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 08:01,17.5.9
Zomato,25-07-2023 09:09,"No customer support process, for any issue they take 3 days to reply, if an order is missing no way to track or follow up and they want extra money for membership. first they should have basic customer support, Swiggy membership cost a little higher but excellent customer support",1,0,,,17.6.0
Zomato,12-05-2023 17:51,"Great delivery app. But off lately there have been so many poor experiences with delivery and you can't get in touch with a customer executive. Again, even if you cancel the order within a minute or two, they charge a complete cancellation fee. Used to have great deals, don't even see much of them nowadays.",2,223,,,17.4.8
Zomato,20-07-2023 15:59,It's really good and amazing. Every time I feel hungry i think about only Zomato there is a lot of reason for appreciation this app but one thing is need to be improve that was delivery time. I hope Zomato will resolve it. Overall service and food both are amazing.,4,0,,,17.6.0
Zomato,23-07-2023 11:46,"The coupon for late delivery for gold members is a hoax. The order gets stuck on the payment portal, refreshes and then you can't use the coupon anymore as it just keeps showing the refreshed order as pending. Also no response from customer support whatsoever.",1,1,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",23-07-2023 11:48,17.6.0
Zomato,03-07-2023 12:46,"Big cheaters. Happened multiple times with me. I have gold membership for which I paid upfront cost as well. I am removing this application. They delivered incorrect orders to me and when I requested them to return it then they said its not possible. They were trying to compensate it with a small refund amount instead of taking returns. I wonder why would customer bear the loss for mistakes made by restaurant partners. Plus, for every item they sell, most of the items are overcharged.",1,47,"Hi Ankit, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.
",05-07-2023 12:19,17.4.8
Zomato,16-07-2023 20:19,Had ordered from KFC today. I had ordered for 2 double chicken wrap along with other sides. But received only 1 wrap. When raised a concern with Zomato they casu ally said the restaurant is closed and nothing can be done. There has been many a times where I'm facing the same issue with this app. I should have ordered from other apps where they provide a better resolution. Will never order from Zomato again. It's just a waste of money to have subscribed for gold membership.,1,13,"Hi Jai, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.
",21-07-2023 08:47,17.6.0
Zomato,25-07-2023 06:23,Very bad experience from Zomato. Chat executive didn't resolve the problem for the items missing from my order. They just simply told they can't do any thing. Going to uninstall it and make sure to never use Zomato in future.,1,0,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",25-07-2023 06:24,17.6.0
Zomato,14-07-2023 15:01,I love zomato. Their deliveries are quick and coverage of restaurants quite vast. Edit 14-July: still great at restaurant coverage and delivery speed. The discounts aren't what they used to be though. A little improvement there perhaps.,5,9,"Hi Vinny, glad to hear that! Thank you for your feedback.",13-12-2022 10:33,17.5.9
Zomato,11-07-2023 08:26,"Always show surge charges . What the hell with the low delivery partners. From last 1 year I have not see a single day without surge charges and offer have completely gone. And the irritating part is I just change delivery location to 400meter there are then enough available delivery partner. It's getting worse day by day, the only reason I still have this app on my phone is that there is no swiggy available near me. The day swiggy get active , Uninstalling is the first thing I will do.",1,16,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 07:43,17.5.9
Zomato,17-06-2023 14:23,"Your app and delivery everything is good. But there is one issue with zomato. Sometimes it was showing that my order is slightly delayed. But once the mentioned delivery period is over, I'm receiving a message that restaurant has been cancelled my order. Just imagine, one person had been waiting for almost one hour, after that receiving a message that his order has been cancelles. It happened to me twice. Even I complained to your customer care, I didn't find any resolution. Try to fix issue.",3,525,,,17.5.3
Zomato,22-07-2023 13:17,Worst service I ordered the food 2 hours ago and it's still not delivered yet. Firstly the delivery partner stayed at one place for more than 50 minutes when I called him he was like I have 2 orders I can't deliver both so I'm waiting for someone else to pick up the other order and I can deliver yours.😒 Seriously I'll never use this app again. Worst experience,1,2,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",22-07-2023 13:18,17.6.0
Zomato,16-06-2023 07:19,"Poor cust. Experience. I ordered items from a bakery that were all spilled. I clicked the images and when I wanted to share, I had an option to either upload images / video. And when I click that open there is only video recording. Then I am asked to send email to support which will resolve the issue in 72hours. That is a fake automated email and nothing has been done.",2,396,"Hi Priya, glad to hear that! Thank you for your feedback.",16-06-2022 10:59,17.5.3
Zomato,24-07-2023 16:06,"It's can get way better with user friendliness...at times customer service is not good enough, the food doesn't come from restaurants or some items are missed and we are not attended to well. Customer is giving a rating as well on some criteria mentioned but how can customers get better or get perfect rating without knowing why rating is low or what score we got. Offers given are at times amazing and when you need one the mostly nothing comes by.",3,0,"Hi Olinda, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",26-07-2023 11:21,17.6.2
Zomato,04-06-2023 18:23,"Zomato seems to have lost it recently. Have been facing multiple issues of orders being delayed for 3 or 4 hours, delivered items not being packed or sealed and even wrong item or sub quality item being delivered. What's worse is that they have taken down the option to contact customer support and instead has a bot support which is completely useless. If some issue happens with the order its almost impossible to get a fair support as the bot responds 'sorry for the inconvenience'.",1,296,,,17.5.1
Zomato,14-07-2023 14:51,"worst app to order if you looking for a quick delivery. their customer support make false commitments , make you wait and abruptly cancel your citing non sensical reasons. Avoid. Update from July 2023. Again a similar incident. Again last moment cancellation, and the fun part is that I had to call them saying that the restaurant called for items out of stock, they were not even aware of it and happily listing it for sale. The executive seemed uncaring and arrogant as if it was not her problem.",1,30,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 07:56,17.6.0
Zomato,07-06-2023 16:19,"Worst customer service. I placed an order, it was not delivered and Zomato did not return the full amount, it's such a simple matter and I have been writing to to them from last one month no one bothers to even reply. Only I am getting an automated reply with a new ticket number everytime. Their customer service is worst among all other similar apps. I stopped using it now.",1,169,,,17.5.1
Zomato,06-07-2023 16:27,"Poor customer support, There is no way to reach out to the support executive and mails are not responded. The customer experience was good earlier now it's the worst of all the food ordering apps. I have received wrong orders multiple times but they never provided a resolution.",1,28,,,17.5.8
Zomato,06-07-2023 10:42,Overall quality is good and good experience but customer service is very bad and they have blocked my cash on delivery option and won't reply back to me. The app usually shows card decline but the order still somehow goes through overall the app is very faulty.,1,21,,,17.5.7
Zomato,12-07-2023 17:08,"I recently had a truly disappointing experience while ordering food through Zomato. The delivery service took an incredibly exasperating amount of time, clocking in at nearly 1.30 hours. It was an ordeal to say the least. The delay left me feeling frustrated and hungry, and it completely tarnished my perception of Zomato's service. Promptness and efficiency are crucial in the food delivery industry, and Zomato failed miserably in this regard. Such a lengthy delay is unacceptable.",1,13,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 07:50,17.5.8
Zomato,13-05-2023 09:08,The app was absolutely great in the beginning. But since April2023 I have been experiencing delay in orders. The food ordered gets delivered much later than estimated time. There is also no option to directly rech customer support. They will conveniently push the blame on the restaurant or the delivery partner. But I believe they can make sure that the customer gets a call or message where they have an option to cancel or go ahead with order from another restaurant when there is a delay.,1,211,,,17.4.8
Zomato,13-07-2023 20:36,Am so much disappointed with tha Zomato riders because they not picked the order on their time and then never check the order item it's completely or incomplete . One incident held with me yesterday I ordered 3 or 4 items but I received only 3 and when I contact with the Zomato then she refund me the price of the missing item but I didn't get complete money of the missing item and I sufred with lose I request you plss correct this mistakes ..,2,5,,,17.5.9
Zomato,09-07-2023 16:08,"It's so ridiculous app ,literally every time we order the food we got always sad impact ,the food container is open and the food is just cold and when we are writing the issue to the team of Zomato they are not giving good response and every time the same response coming from them that next time it would be better but nothing is improved . They only give credits on Zomato which is not worth. The whole mood is spoiled every time ,never order from Zomato now ..just a rubbish app. Hate their servic",1,8,,,17.5.8
Zomato,16-07-2023 16:38,"Worst app. Delivery partner doesn't reach out to me. It was late at night. Delivery partner refused to take order. Zomato didn't care, they didn't provide me another delivery partner. They just keep telling me that cancel and order again. How the heck I am going to order again if u are not going to deliver it.",1,6,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 08:07,17.6.0
Zomato,16-07-2023 19:56,"Very bad delivery app. wrong order delivered and when complained they are giving the coupon to order next time within limited period. They are refusing to give money refund. Also they are not providing COD option so as to trap customers by taking their money and if any issue comes, they will give coupon to customer to order from them again. Swiggy is better than zomato. i dont suggest zomato.",1,5,"Hi Maleka, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.
",21-07-2023 10:43,17.6.0
Zomato,16-07-2023 08:42,Very convenient to order from app. Only the cons is sometimes the tracking is not showing properly while keeping eye on Map. Also handling food by them is proper till now no issue. Has variety of options to choose from.,4,13,,,17.5.9
Zomato,01-06-2023 15:55,"Deliveries have a habit of missing an item or two, usually the most expensive item ordered. Customer support can do nothing but copy paste ""we are sorry"" messages. No refunds are given for orders over two hours late. And then, after providing a terrible, unreccomendable service, they ask you to rate their app constantly. They call an hour later to notify you that there is a payment glitch and order cancelled. Absolute rubbish. All you ""service providers"" toy with customers and delivery agents.",1,339,,,17.5.1
Zomato,10-07-2023 13:55,"You didn't deserve any rating. Zomato is doing frauds with the support of restaurant. Restaurant took t orders and didn't deliver. No call, No delivery person information. Money is already paid. But didn't receive order. In app it is showing delivered. Zomato support service is the worst service ever. No calls. No response. Waited for many hours.",1,7,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 07:40,17.5.8
Zomato,04-06-2023 09:40,"Extremely bad food app. Always shows higher rates than the usual food rate and charges for delivery after that, that too very steep. They also charge a surge fee even though there's no rush at restaurant. Their partners don't turn up at the restaurant and the app shows that the food is not ready whereas in reality the food is ready. Very patheti and their customer service is abysmal. It is always better to contact the restaurant directly than through Zomato. Swiggy is a lot better.",1,95,,,17.5.0
Zomato,15-07-2023 07:27,"Day by day this app is giving worst experience. 1st restaurant & App rate for each dish is doubled, *pure cheating the customers*. 2nd while ordering from the selected outlet it shows 30-35 mins for delivery, once order placed post payment it will change to 60 to 70 mins dor delivery. Not worth for 1 star also for this cheating business.",1,5,"Hi Rashmi, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",20-07-2023 11:38,17.5.9
Zomato,13-06-2023 15:16,"The support chat does not have the option to raise issues other than the limited issues listed by the bot. One has to choose an incorrect issue option to get to chat with a human being. Also, the delivery time indicated for each restaurant is misleading and actual delivery time is double of what is indicated. This is very disappointing.",1,252,,,17.5.2
Zomato,23-07-2023 16:02,Being a shareholder i personally feel that the service are not upto the mark and the customer service is poor as we can't connect to a live agent for a chat and also gold membership is useless. If you are giving gold membership then give free delivery in blinkit also. Blinkit Zomato company is already currently unavailable or the product are out of stock always. I would recommend to give a good service like Swiggy and instamart option with a well maintained app and one membership.,1,0,"Hi Saurabh, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",26-07-2023 11:04,17.6.2
Zomato,16-07-2023 09:53,On-time guarantee is biggest fraud being run by Zomato. I did not receive 100% of order value as refund. Rather a very small insignificant amount. There is also no explanation on how they arrived at the refund value and there is no way to contact. I'll stop using Zomato after my Zomato gold expires. Thank you for terrible experience.,1,5,"Hi Anirudh, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we'll get this checked immediately.",21-07-2023 08:45,17.6.0
Zomato,16-07-2023 10:26,Worst management won't allow the customer to address their problem. They just give their small list of unknown problems and let the customer choose from their but never address the customer's actual problem. I feel swiggy is far better than Zomato . This is a worst app to use . Never let the customer talk freely about the actual problem.,1,6,,,17.5.8
Zomato,09-06-2023 19:32,Poor customer service. I received wrong order and raised query 3 times with video and all they said is they couldn't verify the issues with the video and then closed the chat option as well. This has happened in the past as well. I don't understand what kind of support this is if they can't even look into customer issues even for wrong orders. All they have to say is they will take care in the future and there is nobody you can talk to about the issue. Very very poor customer service.,1,228,,,17.5.2
Zomato,19-07-2023 13:36,"This app has been so helpful for ordering. I wish the taxes and service charges were in the food prices so I don't have to wait til the end to find out the final price, but otherwise it's good. I hope the deliverers are paid decently.",5,2,,,17.6.1
Zomato,04-07-2023 15:24,"Zomato is not supposed to track my location if I haven't granted permission for it. It's the worse thing, I ordered for my friend and it automatically selected the current location despite of the fact that I have added whole address.",1,17,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 07:17,17.5.7
